TIME,Value
200001,2.61983472364323
200002,2.61983472364323
200003,2.61983472364323
200004,2.61983472364323
200005,2.61983472364323
200006,2.61983472364323
200007,2.61983472364323
200008,2.61983472364323
200009,2.61983472364323
200010,2.61983472364323
200011,2.61983472364323
200012,2.61983472364323
200101,2.63714678108311
200102,2.63714678108311
200103,2.63714678108311
200104,2.63714678108311
200105,2.63714678108311
200106,2.63714678108311
200107,2.63714678108311
200108,2.63714678108311
200109,2.63714678108311
200110,2.63714678108311
200111,2.63714678108311
200112,2.63714678108311
200201,2.54745400997044
200202,2.54745400997044
200203,2.54745400997044
200204,2.54745400997044
200205,2.54745400997044
200206,2.54745400997044
200207,2.54745400997044
200208,2.54745400997044
200209,2.54745400997044
200210,2.54745400997044
200211,2.54745400997044
200212,2.54745400997044
200301,2.55015297059735
200302,2.55015297059735
200303,2.55015297059735
200304,2.55015297059735
200305,2.55015297059735
200306,2.55015297059735
200307,2.55015297059735
200308,2.55015297059735
200309,2.55015297059735
200310,2.55015297059735
200311,2.55015297059735
200312,2.55015297059735
200401,2.48685541264951
200402,2.48685541264951
200403,2.48685541264951
200404,2.48685541264951
200405,2.48685541264951
200406,2.48685541264951
200407,2.48685541264951
200408,2.48685541264951
200409,2.48685541264951
200410,2.48685541264951
200411,2.48685541264951
200412,2.48685541264951
200501,2.50192554035344
200502,2.50192554035344
200503,2.50192554035344
200504,2.50192554035344
200505,2.50192554035344
200506,2.50192554035344
200507,2.50192554035344
200508,2.50192554035344
200509,2.50192554035344
200510,2.50192554035344
200511,2.50192554035344
200512,2.50192554035344
200601,2.54545175545614
200602,2.54545175545614
200603,2.54545175545614
200604,2.54545175545614
200605,2.54545175545614
200606,2.54545175545614
200607,2.54545175545614
200608,2.54545175545614
200609,2.54545175545614
200610,2.54545175545614
200611,2.54545175545614
200612,2.54545175545614
200701,2.61515847339147
200702,2.61515847339147
200703,2.61515847339147
200704,2.61515847339147
200705,2.61515847339147
200706,2.61515847339147
200707,2.61515847339147
200708,2.61515847339147
200709,2.61515847339147
200710,2.61515847339147
200711,2.61515847339147
200712,2.61515847339147
200801,2.74481237536275
200802,2.74481237536275
200803,2.74481237536275
200804,2.74481237536275
200805,2.74481237536275
200806,2.74481237536275
200807,2.74481237536275
200808,2.74481237536275
200809,2.74481237536275
200810,2.74481237536275
200811,2.74481237536275
200812,2.74481237536275
200901,2.79181606218565
200902,2.79181606218565
200903,2.79181606218565
200904,2.79181606218565
200905,2.79181606218565
200906,2.79181606218565
200907,2.79181606218565
200908,2.79181606218565
200909,2.79181606218565
200910,2.79181606218565
200911,2.79181606218565
200912,2.79181606218565
201001,2.71444490885423
201002,2.71444490885423
201003,2.71444490885423
201004,2.71444490885423
201005,2.71444490885423
201006,2.71444490885423
201007,2.71444490885423
201008,2.71444490885423
201009,2.71444490885423
201010,2.71444490885423
201011,2.71444490885423
201012,2.71444490885423
201101,2.73803439302896
201102,2.73803439302896
201103,2.73803439302896
201104,2.73803439302896
201105,2.73803439302896
201106,2.73803439302896
201107,2.73803439302896
201108,2.73803439302896
201109,2.73803439302896
201110,2.73803439302896
201111,2.73803439302896
201112,2.73803439302896
201201,2.67283623631642
201202,2.67283623631642
201203,2.67283623631642
201204,2.67283623631642
201205,2.67283623631642
201206,2.67283623631642
201207,2.67283623631642
201208,2.67283623631642
201209,2.67283623631642
201210,2.67283623631642
201211,2.67283623631642
201212,2.67283623631642
201301,2.70214750217239
201302,2.70214750217239
201303,2.70214750217239
201304,2.70214750217239
201305,2.70214750217239
201306,2.70214750217239
201307,2.70214750217239
201308,2.70214750217239
201309,2.70214750217239
201310,2.70214750217239
201311,2.70214750217239
201312,2.70214750217239
201401,2.71785942054576
201402,2.71785942054576
201403,2.71785942054576
201404,2.71785942054576
201405,2.71785942054576
201406,2.71785942054576
201407,2.71785942054576
201408,2.71785942054576
201409,2.71785942054576
201410,2.71785942054576
201411,2.71785942054576
201412,2.71785942054576
201501,2.7869952707409
201502,2.7869952707409
201503,2.7869952707409
201504,2.7869952707409
201505,2.7869952707409
201506,2.7869952707409
201507,2.7869952707409
201508,2.7869952707409
201509,2.7869952707409
201510,2.7869952707409
201511,2.7869952707409
201512,2.7869952707409
201601,2.85350080390023
201602,2.85350080390023
201603,2.85350080390023
201604,2.85350080390023
201605,2.85350080390023
201606,2.85350080390023
201607,2.85350080390023
201608,2.85350080390023
201609,2.85350080390023
201610,2.85350080390023
201611,2.85350080390023
201612,2.85350080390023
201701,2.90432413835629
201702,2.90432413835629
201703,2.90432413835629
201704,2.90432413835629
201705,2.90432413835629
201706,2.90432413835629
201707,2.90432413835629
201708,2.90432413835629
201709,2.90432413835629
201710,2.90432413835629
201711,2.90432413835629
201712,2.90432413835629
201801,3.01010205104374
201802,3.01010205104374
201803,3.01010205104374
201804,3.01010205104374
201805,3.01010205104374
201806,3.01010205104374
201807,3.01010205104374
201808,3.01010205104374
201809,3.01010205104374
201810,3.01010205104374
201811,3.01010205104374
201812,3.01010205104374
201901,3.17048669808151
201902,3.17048669808151
201903,3.17048669808151
201904,3.17048669808151
201905,3.17048669808151
201906,3.17048669808151
201907,3.17048669808151
201908,3.17048669808151
201909,3.17048669808151
201910,3.17048669808151
201911,3.17048669808151
201912,3.17048669808151
202001,3.46777095330333
202002,3.46777095330333
202003,3.46777095330333
202004,3.46777095330333
202005,3.46777095330333
202006,3.46777095330333
202007,3.46777095330333
202008,3.46777095330333
202009,3.46777095330333
202010,3.46777095330333
202011,3.46777095330333
202012,3.46777095330333
202101,3.45704567785975
202102,3.45704567785975
202103,3.45704567785975
202104,3.45704567785975
202105,3.45704567785975
202106,3.45704567785975
202107,3.45704567785975
202108,3.45704567785975
202109,3.45704567785975
202110,3.45704567785975
202111,3.45704567785975
202112,3.45704567785975
